;VISITATORI PER PROVENIENZA GEOGRAFICA – GENNAIO 2025;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Villa delle Rose “Lombard”;478;140;20;2;0;0;0;0;0;640;1,8%;;0;640;;
Totale Istituzione;21.330;8.364;3.716;984;47;157;447;11;115;35.171;100,0%;;787;35.958;;
;60,65%;23,78%;10,57%;2,80%;0,13%;0,45%;1,27%;0,03%;0,33%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – MARZO 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;1.458;454;372;148;15;17;172;1;22;2.659;9,6%;;55;2.714;;
Museo Archeologico;641;884;871;219;2;47;109;0;44;2.817;10,2%;;0;2.817;;
Collezioni Comunali;1.188;2.112;1.149;463;10;23;49;3;36;5.033;18,2%;;0;5.033;;
Museo Medievale;2.264;1.268;597;233;8;23;65;1;36;4.495;16,2%;;0;4.495;;
Museo Bargellini;1.164;1.231;815;190;28;63;53;2;38;3.584;12,9%;;0;3.584;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;423;158;44;8;0;2;5;0;0;640;2,3%;;0;640;;
Museo del Patrimonio Industriale;1.137;294;32;13;2;1;3;0;0;1.482;5,4%;;0;1.482;;
Museo di Ustica;160;910;90;5;3;2;7;0;0;1.177;4,3%;;0;1.177;;
Casa Morandi;132;152;118;25;1;3;75;0;7;513;1,9%;;0;513;;
Mambo Collezione;2.236;540;626;190;1;1;59;0;36;3.689;13,3%;;0;3.689;;
MAMbo “Carbotta”;804;144;194;86;1;1;16;0;17;1.263;4,6%;;0;1.263;;
Villa delle Rose “Lombard”;232;77;21;10;0;0;0;0;0;340;1,2%;;0;340;;
Totale Istituzione;11.839;8.224;4.929;1.590;71;183;613;7;236;27.692;100,0%;;55;27.747;;
;42,75%;29,70%;17,80%;5,74%;0,26%;0,66%;2,21%;0,03%;0,85%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – APRILE 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;1.168;720;566;218;36;50;89;2;20;2.869;10,2%;;21;2.890;;
Museo Archeologico;1.097;1.018;1.682;387;6;34;184;15;66;4.489;15,9%;;0;4.489;;
Collezioni Comunali;1.740;2.172;1.166;404;23;27;43;0;93;5.668;20,1%;;0;5.668;;
Museo Medievale;1.531;882;923;269;5;42;49;4;64;3.769;13,4%;;0;3.769;;
Museo Bargellini;1.135;1.191;1.277;389;39;100;70;3;63;4.267;15,1%;;0;4.267;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;516;177;42;13;0;2;3;0;2;755;2,7%;;0;755;;
